series,tcode,method,break_date,n_obs
1week-repo,1,ADF_levels(p=0.0379),,191
bist100,2,ADF_diff(p=0.0240),,436
ipi_sa,2,ADF_diff(p=0.0000),,482
auto_prod,2,ADF_diff(p=0.0000),,627
total_prod,2,ADF_diff(p=0.0000),,627
bus_conf,1,ADF_levels(p=0.0014),,232
cons_conf,2,ADF_diff(p=0.0000),,172
cpi_sa,5,ADF_logdiff(p=0.0099),,255
cur_sa,1,ADF_levels(p=0.0165),,232
elec_prod,2,ADF_diff(p=0.0056),,124
elec_cons,2,ADF_diff(p=0.0006),,124
usd_try_avg,5,ADF_logdiff(p=0.0000),,556
ppi,5,default(log-diff),,531
exp_vol_i,2,ADF_diff(p=0.0001),,158
imp_vol_i,2,ADF_diff(p=0.0051),,158
retail_sales_sa,5,ADF_logdiff(p=0.0259),,168
retail_sales_nsa,2,ADF_diff(p=0.0039),,168
house_sales_sa,1,ADF_levels(p=0.0000),,159
commprop_sales_sa,2,ADF_diff(p=0.0000),,159
total_prop_sales,1,ADF_levels(p=0.0000),,159
loans,5,ADF_logdiff(p=0.0045),,221
fin_acc,1,ADF_levels(p=0.0267),,494
empl_num,2,ADF_diff(p=0.0279),,254
unemp_num,2,ADF_diff(p=0.0000),,254
emp_rate,2,ADF_diff(p=0.0111),,254
unemp_rate,2,ADF_diff(p=0.0000),,254
real_gdp_i,5,ADF_logdiff(p=0.0095),,124
card_trans,5,default(log-diff),,146
card_pmt_i,5,default(log-diff),,132
card_pmt_i_r,5,default(log-diff),,132
hh_pmt,5,default(log-diff),,132
hh_pmt_r,5,default(log-diff),,132
reer,2,ADF_diff(p=0.0000),,387
ngdprsaxdctrq,5,ADF_logdiff(p=0.0000),,124
non_fin_firms_credits,5,ADF_logdiff(p=0.0023),,221
household_credits,5,ADF_logdiff(p=0.0431),,221
tax,5,ADF_logdiff(p=0.0215),,243
exp_ind_auto,2,ADF_diff(p=0.0000),,158
exp_ind_dg,5,default(log-diff),,158
imp_ind_auto,2,ADF_diff(p=0.0164),,158
imp_ind_dg,2,ADF_diff(p=0.0000),,158
maden_ciro_endeksi_sa,5,ADF_logdiff(p=0.0000),,252
sanayi_ins_tic_ciro_sa,5,ADF_logdiff(p=0.0000),,252
is_ekon_ciro_sa,5,ADF_logdiff(p=0.0000),,252
tourist,1,ADF_levels(p=0.0040),,589
auto_exp_vol_i,2,ADF_diff(p=0.0000),,158
dg_exp_vol_i,5,default(log-diff),,158
auto_imp_vol_i,5,default(log-diff),,158
dg_imp_vol_i,5,ADF_logdiff(p=0.0267),,158
resmi_rezerv_var,2,ADF_diff(p=0.0005),,542
doviz_rezerv_var,2,ADF_diff(p=0.0000),,542
altin_rezerv_var,5,ADF_logdiff(p=0.0000),,542
m3,5,ADF_logdiff(p=0.0000),,243
consu_i,2,ADF_diff(p=0.0004),,292
deposit_i,2,ADF_diff(p=0.0002),,292
